Altitude (ft),Speed (mph),Fuel (gal/hr)
443.3974,23.6121,0.2505565
445.8827,22.99073,0.2619854
445.4724,19.88388,0.1846205
446.9171,18.64114,0.1978077
445.8426,17.39839,0.1951703
449.4827,14.91291,0.1863788
450.8416,3.106856,0.3780326
452.4557,0,0.290118
453.8683,0,0.2742934
454.2606,0,0.2681394
455.537,0,0.247919
456.1459,0,0.2391276
456.7492,0,0.2338527
458.7643,0,0.2320944
458.9676,0,0.2329735
459.7335,0,0.2312153
458.5881,0,0.2505565
459.1774,0,0.2505565
462.1357,5.592341,2.029947
464.2367,9.320568,2.420288
464.3907,13.04879,1.623782
461.8677,14.29154,1.047062
460.3767,14.91291,0.1942911
461.1453,9.320568,0.3411084
463.5224,4.97097,0.4984755
463.3886,4.97097,0.4984755
463.4186,0,0.338471
464.0226,0,0.3270421
471.5607,0,0.3173715
475.6898,0,0.2514356
482.9663,2.485485,1.136735
480.585,6.213712,1.789061
466.8094,10.56331,2.000935
470.6584,12.42742,2.065992
471.1161,18.01976,1.735433
473.9092,20.50525,1.926208
477.4119,22.36936,2.055442
478.1758,25.47622,2.091487
482.5027,26.71896,2.169731
483.6696,29.82582,2.258525
483.6948,31.68993,1.830381
486.469,32.93267,1.839172
480.3675,34.17542,1.141131
479.3158,35.41816,1.288827
480.3569,35.41816,1.437403
480.1036,36.03953,1.620265
481.7268,37.28227,1.598287
480.6789,37.90364,1.608836
480.6393,39.76776,1.621144
480.3847,39.76776,0.8246384
478.7583,39.76776,0.8246384
479.9931,40.38913,1.188605
482.5901,41.0105,1.156955
483.6584,41.63187,0.9960718
483.1387,41.63187,0.9257402
482.4327,42.25324,1.160472
485.2607,42.25324,1.150801
485.2768,42.87461,0.6628757
485.3423,42.87461,0.8360673
482.9869,43.49598,0.6699089
479.305,43.49598,0.7639774
478.0018,43.49598,0.7921101
478.486,44.11736,0.8114513
478.2245,44.11736,0.8202427
479.0343,44.11736,0.7288116
478.0661,44.11736,0.7077121
477.7143,44.11736,0.7112287
475.6725,44.11736,0.7121078
477.2671,44.11736,0.7077121
476.7907,44.11736,0.7059538
474.5397,44.11736,0.6962832
472.8294,44.73873,0.8052973
474.7906,44.73873,0.8729914
472.5679,45.3601,0.8967284
472.0837,45.3601,0.9143113
473.4666,45.3601,0.6751837
474.0233,44.73873,0.5837526
474.6857,44.73873,0.6655131
477.3338,44.73873,0.6918875
478.4464,44.73873,0.6954041
491.111,44.11736,0.7050747
488.3708,44.73873,0.416715
486.5115,44.73873,0.4272647
484.5587,44.11736,0.4211107
483.9201,44.11736,0.4246273
482.9996,44.11736,0.4272647
481.3317,44.11736,0.4237481
478.135,44.11736,0.4237481
475.579,43.49598,0.4325396
474.2594,43.49598,0.4395728
473.1723,43.49598,0.4299021
471.5651,43.49598,0.4299021
470.7332,43.49598,0.4659471
469.3549,42.87461,0.6074895
469.0858,42.87461,0.6452928
467.8145,42.87461,0.65848
469.203,42.25324,0.628589
467.6849,42.25324,0.7411196
468.247,41.63187,0.7200201
467.5393,42.25324,1.447073
466.788,42.25324,0.8483754
466.3124,42.25324,0.5934232
466.6192,41.63187,0.7973849
465.1962,41.63187,0.7182618
465.8967,41.63187,0.755186
466.0421,41.0105,0.6479302
465.0162,41.0105,0.4975964
464.3987,41.0105,0.4975964
463.9717,41.0105,1.106844
464.2307,41.0105,0.2786891
466.0383,40.38913,0.1705542
465.7627,39.76776,0.2083575
466.2744,38.52501,0.1986869
466.3543,37.90364,0.199566
466.2073,36.6609,0.2013243
466.3897,36.6609,0.2013243
461.1429,34.79679,0.199566
463.4955,34.17542,0.199566
463.7479,33.55404,0.2004452
464.9477,32.3113,0.1951703
465.3134,32.3113,0.2646228
464.9127,15.53428,0.20572
465.7189,8.077826,0.2716559
463.874,2.485485,0.3604496
464.705,0.6213712,0.2945137
465.0675,0,0.326163
465.946,0,0.296272
467.3579,0,0.2918763
468.066,0,0.2892389
468.418,0,0.2883597
468.6279,0,0.2909971
468.4482,0,0.2909971
467.3167,0,0.2927555
467.6515,0,0.2883597
467.4424,0,0.2883597
464.8498,0,0.2391276
466.455,0,0.2391276
466.2237,0,0.2382484
466.7708,0,0.2391276
467.6326,0,0.2373693
467.1765,0,0.2391276
467.7734,0,0.2391276
467.3303,0,0.2373693
467.8599,0,0.2382484
468.8441,0,0.2382484
469.0424,0,0.2373693
469.1006,0,0.2408859
469.7889,0,0.2400067
470.0839,0,0.2400067
470.4002,0,0.2848431
470.7014,0,0.2786891
471.2147,0,0.2795683
471.8715,0,0.2857223
472.0363,0,0.2883597
472.0188,0,0.2883597
472.7868,0,0.2892389
472.1618,0,0.2936346
471.7303,0,0.3120967
472.126,0,0.3191298
472.0573,0,0.2602271
471.9634,0,0.2567105
471.8578,0,0.2523147
471.5791,0,0.2347318
471.353,0,0.2373693
471.4457,0,0.2347318
470.5288,0,0.9336525
471.2343,10.56331,2.565346
471.3698,14.91291,2.357868
471.9968,16.77702,2.18116
471.8813,21.74799,2.23303
472.8048,23.6121,2.238304
473.5007,27.34033,2.517873
474.1299,28.58307,2.537214
475.5868,29.82582,2.498531
476.7206,34.17542,2.783375
477.1101,36.03953,2.670844
476.2665,37.90364,1.460261
476.1629,37.90364,1.460261
475.3666,39.76776,2.290174
475.6671,41.0105,1.895438
463.8524,42.25324,1.803127
467.1969,42.25324,1.803127
468.7324,44.73873,0.8176053
468.4212,44.73873,1.213221
468.5295,45.3601,1.795215
468.8798,45.3601,1.724883
471.0645,46.60284,1.886646
472.0853,46.60284,1.316081
472.1526,47.22421,1.74862
473.3919,47.22421,1.74862
473.9382,47.22421,1.64576
473.3689,47.84558,1.064645
473.8291,47.84558,1.192121
473.1454,48.46695,1.441799
473.0293,49.08833,1.622903
471.1878,49.08833,1.593012
469.6497,49.08833,0.296272
469.4348,49.08833,0.241765
470.4011,48.46695,0.2698977
469.379,47.22421,0.3903406
469.5174,46.60284,0.6356222
471.1147,46.60284,0.6338639
471.6151,45.98147,0.7332073
472.4167,45.98147,0.8000224
473.8137,45.98147,0.8685957
473.8723,45.98147,0.8879369
474.5283,45.98147,0.8879369
474.4162,46.60284,0.8896952
474.1855,46.60284,0.8923327
474.5479,46.60284,0.8431005
475.9365,46.60284,0.6444137
476.862,46.60284,0.6470511
476.2793,46.60284,0.9169487
476.6143,45.98147,0.9134321
477.056,46.60284,0.9661809
476.4271,46.60284,0.9573894
476.0726,46.60284,0.6839752
476.3179,46.60284,0.6910083
476.7757,45.98147,0.7085913
477.1275,45.3601,0.7560651
478.2563,45.3601,0.5134209
478.4237,45.3601,0.5978189
478.808,45.3601,0.5978189
479.806,44.73873,0.76134
478.6678,44.73873,0.9442022
477.1455,44.73873,1.011017
477.9133,45.3601,0.9653018
478.8248,45.3601,0.8694749
479.9554,45.3601,0.822001
480.2368,44.73873,0.5846317
480.8689,44.73873,0.5811152
480.9342,45.3601,0.7050747
480.4436,44.73873,1.043546
480.3413,45.3601,1.042667
479.9654,45.3601,1.073437
479.8591,45.3601,1.047941
480.2896,45.98147,1.051458
479.478,45.3601,0.7208993
480.4673,45.98147,0.7604609
481.2766,45.98147,0.7411196
481.281,45.3601,0.5503451
481.3676,45.3601,0.5406744
481.696,45.3601,0.6197976
482.5396,45.3601,0.6013355
482.9088,45.3601,0.5978189
485.7906,45.3601,0.6690297
486.2229,44.73873,0.7815603
486.1979,45.3601,0.8536503
487.618,45.3601,0.7885935
486.3909,45.3601,0.7560651
487.8101,45.3601,0.749032
487.7975,45.3601,1.564
488.6978,45.98147,1.17278
489.0318,45.98147,0.755186
490.2671,46.60284,0.7402405
491.2417,46.60284,0.731449
485.1887,45.98147,0.6954041
486.5908,45.98147,0.5459493
487.3716,45.3601,0.5793568
488.4178,45.3601,0.8677166
476.1411,45.98147,1.231683
478.2197,45.98147,1.119152
483.2735,46.60284,0.9556311
487.4863,46.60284,0.9503562
489.1613,46.60284,0.670788
489.5937,47.22421,0.8923327
490.6237,47.22421,0.8976075
489.9739,47.22421,0.8888161
479.8721,46.60284,0.5230916
483.7941,46.60284,0.9380482
486.1811,46.60284,0.918707
489.4914,47.22421,1.126185
489.3688,47.84558,1.015413
489.2817,47.84558,0.7578234
490.6856,47.84558,0.4923215
491.5339,46.60284,0.2549522
493.5171,45.98147,0.2400067
493.8449,44.73873,0.229457
495.1495,44.11736,0.2250612
494.5237,43.49598,0.2197864
495.5742,42.25324,0.2074783
495.8718,41.63187,0.2074783
497.3568,41.0105,0.3534165
496.6367,41.0105,0.181104
497.7127,40.38913,0.4685845
496.368,39.76776,0.7578234
496.8494,39.76776,0.9345316
495.6878,39.76776,0.1459381
495.6649,38.52501,0.2004452
496.8802,37.90364,0.1969286
496.6328,37.90364,0.199566
496.84,37.28227,0.3305587
497.6937,36.6609,0.58639
498.5171,36.6609,0.7138661
498.4121,36.6609,0.6980415
499.5572,36.6609,0.7024372
501.085,37.28227,0.8712332
501.392,37.28227,0.9907969
500.0936,37.90364,1.229925
499.926,38.52501,0.3753951
500.7438,39.14639,0.4527599
501.3123,38.52501,1.036512
502.1976,39.14639,1.22465
501.6341,39.14639,1.201792
502.8362,39.14639,0.8554085
503.3763,39.76776,0.779802
504.0549,39.76776,0.5485868
502.1772,39.76776,0.5705654
499.3044,39.76776,0.4395728
498.7161,39.14639,0.7006789
499.5151,39.14639,0.7850769
499.9853,39.14639,0.7947475
500.4561,40.38913,1.386412
500.6475,41.0105,0.9011241
501.4479,41.63187,0.6751837
503.6159,41.63187,0.6514468
503.0637,41.63187,0.6672714
503.5871,42.25324,0.9459605
504.2229,42.25324,0.9916761
503.8106,42.87461,0.9951927
502.852,42.87461,0.8729914
502.0436,43.49598,0.7648566
501.7665,43.49598,0.9380482
501.3339,44.11736,1.009259
499.9757,44.73873,1.205308
500.6767,45.3601,1.095415
501.2524,45.3601,0.8263968
500.6441,45.3601,0.8554085
500.422,45.3601,0.8932118
499.2019,45.98147,0.9037616
498.9226,45.98147,0.8334299
498.4894,45.98147,0.8606834
497.5921,45.98147,0.8694749
497.7501,45.98147,0.2461607
499.2382,45.3601,0.399132
497.4377,45.3601,0.5925441
497.5118,45.3601,0.5661697
498.4446,44.73873,0.2127532
497.7087,43.49598,0.2224238
497.6068,42.87461,0.2153906
496.8734,42.25324,0.2153906
494.2564,41.63187,0.20572
493.8521,41.0105,0.2030826
490.9403,39.14639,0.2039617
491.1999,39.76776,0.1960494
490.0086,36.03953,0.199566
491.628,33.55404,0.1986869
491.8114,30.44719,0.5793568
491.8262,27.9617,0.5696863
491.7561,22.36936,0.3138549
491.8224,21.12662,0.2426441
491.3334,20.50525,0.5433119
488.3029,19.88388,0.5855109
489.3133,19.88388,0.767494
489.2669,21.12662,0.954752
489.222,22.36936,1.29586
489.7731,23.6121,1.739829
489.6758,26.71896,1.833018
490.4407,27.9617,1.794336
489.7303,29.82582,1.655431
490.1468,31.06856,1.688838
490.818,31.68993,1.672135
489.8542,34.17542,1.527076
488.6998,34.79679,1.555208
488.3782,35.41816,1.546417
488.6369,37.90364,1.580704
487.3758,38.52501,1.582462
487.2782,40.38913,1.59477
486.7888,40.38913,1.217616
486.3968,41.63187,1.396083
486.5457,42.25324,1.432128
487.1273,43.49598,1.452348
486.6957,44.11736,1.434765
485.936,44.11736,1.434765
485.5709,45.3601,1.338059
479.93,45.98147,1.125306
481.6984,45.98147,0.416715
482.4913,45.98147,0.8510128
483.2022,45.98147,0.9714558
483.3654,46.60284,0.5925441
482.8057,45.98147,0.9213445
483.2733,46.60284,0.9705766
484.8663,46.60284,0.5644114
483.8478,46.60284,0.7903518
484.5593,47.22421,0.5943024
484.1518,46.60284,0.1749499
482.0668,45.98147,0.5151793
481.2374,45.98147,0.7595817
481.6113,45.98147,0.6927666
482.6039,45.98147,0.7121078
482.352,45.98147,0.5204541
482.5099,45.3601,0.5283664
483.0728,45.3601,0.5477076
482.3964,45.3601,0.6822169
482.9307,45.3601,0.858046
482.6616,45.3601,0.5652906
483.526,45.3601,0.5732028
483.4279,45.3601,0.5732028
485.5419,45.3601,0.3349544
483.1584,44.73873,0.4914423
482.5887,44.73873,0.6989207
483.2358,44.73873,0.7261742
482.5454,45.3601,0.731449
482.2534,45.3601,0.7578234
483.2655,44.73873,1.127064
484.9706,44.73873,1.127064
480.9296,45.3601,0.9705766
481.2438,45.98147,0.6672714
481.7188,45.3601,0.2619854
482.3221,45.3601,0.3973738
480.7682,45.3601,0.7877144
480.2422,45.3601,0.5600157
479.9642,45.3601,0.3560539
479.2874,45.3601,0.3595705
479.0167,44.73873,0.7569442
479.7988,45.3601,1.027721
480.5646,45.3601,0.6822169
469.4553,45.3601,0.8835412
472.477,45.3601,0.9151905
475.9162,45.98147,0.9872804
477.7559,46.60284,1.077832
470.8688,46.60284,1.127944
473.2001,46.60284,1.112119
474.0273,47.22421,0.6971624
476.3278,47.22421,0.6866126
478.2301,46.60284,0.5793568
477.7763,46.60284,0.5635322
478.4478,46.60284,0.495838
479.14,46.60284,0.3402293
480.6457,45.98147,0.2312153
480.9709,45.98147,0.4360562
483.5612,44.73873,0.5688071
491.4039,44.73873,0.5389162
491.4139,44.11736,0.2655019
491.8212,43.49598,0.2822057
470.1433,42.87461,0.3481416
469.5638,42.25324,0.1854997
450.2921,41.0105,0.2101158
448.2263,41.0105,0.2065992
447.2664,39.76776,0.1978077
447.4188,39.14639,0.1978077
447.955,37.90364,0.2022035
450.4883,37.28227,0.2030826
434.4077,34.79679,0.2004452
437.8201,32.93267,0.1942911
441.4053,29.82582,0.2013243
446.5046,29.82582,0.2013243
447.6903,24.85485,0.2013243
447.7668,19.88388,0.2048409
451.5933,15.53428,0.199566
456.233,13.04879,0.2004452
462.7726,8.699197,0.2751725
467.3191,3.106856,0.3727577
470.0975,0.6213712,0.326163
474.246,0,0.2909971
474.3205,0,0.2742934
477.5494,0,0.302426
470.9479,0,0.302426
473.5027,0,0.2707768
473.5812,0,0.2734143
474.0075,0,0.2716559
475.8672,0,0.2734143
477.801,0,0.2725351
479.8313,0,0.2707768
480.0739,0,0.2716559
479.2822,0,0.2690185
477.4648,0.6213712,0.2742934
480.6971,0.6213712,0.2742934
478.2521,3.106856,0.7050747
477.8824,5.592341,1.105086
477.5551,8.699197,1.380258
481.8261,13.04879,1.475206
480.3399,15.53428,1.826864
484.5593,18.64114,1.670376
486.0533,20.50525,1.485756
486.6218,21.74799,1.076074
488.0698,23.6121,1.463777
488.4545,24.85485,1.215858
489.0146,26.71896,1.41982
491.8801,27.9617,1.468173
491.8819,29.82582,1.609715
492.2003,31.06856,1.403995
493.5612,31.68993,1.380258
493.9006,32.3113,1.370588
498.1206,34.79679,1.99566
497.644,36.03953,1.36795
501.058,36.6609,1.441799
500.3714,37.28227,1.412787
499.8255,39.14639,1.353005
498.2449,39.76776,1.345972
498.3893,41.0105,1.062008
499.586,41.0105,1.001347
500.9893,41.63187,0.3226464
502.0979,41.0105,0.3938572
504.0116,41.0105,0.6110061
503.6091,41.0105,1.064645
500.5824,42.25324,1.200034
501.7188,42.87461,0.960906
504.1396,42.87461,0.6074895
502.158,42.87461,0.4808926
502.6415,43.49598,1.056733
493.5898,43.49598,0.8562877
493.0786,44.11736,0.9943135
493.3335,44.11736,1.029479
489.2148,44.11736,1.029479
485.2067,44.73873,0.5468285
485.2515,44.11736,0.374516
487.7802,44.11736,0.5327622
493.6871,43.49598,0.6989207
471.6762,43.49598,0.7340865
469.9164,43.49598,0.2655019
468.4306,42.25324,0.2593479
456.6815,41.63187,0.2786891
464.3127,41.0105,0.4395728
469.6059,41.0105,0.4395728
471.4648,40.38913,0.6154018
475.2816,41.0105,0.1881371
476.1693,40.38913,0.3727577
477.5735,39.76776,0.5186958
474.4286,39.76776,0.8729914
475.2222,39.76776,0.9028824
477.2513,40.38913,0.2259404
476.0013,39.76776,0.1494547
474.9166,39.14639,0.1916537
473.002,38.52501,0.193412
472.5916,37.90364,0.1969286
475.4509,37.28227,0.2013243
477.8887,36.6609,0.1969286
476.3454,36.03953,0.719141
475.3249,36.03953,0.8598043
481.3533,36.03953,0.9028824
482.0124,36.6609,0.9037616
485.8455,37.28227,0.9811264
486.9026,37.90364,1.007501
486.1699,38.52501,1.025084
469.2685,38.52501,1.027721
471.2034,39.14639,0.9740932
473.3637,39.76776,0.3006678
472.0074,39.14639,0.1890163
481.3687,39.14639,0.3156132
483.313,38.52501,0.4826509
480.5425,38.52501,0.7296907
478.3276,38.52501,0.4984755
483.8792,38.52501,0.1951703
472.6967,37.90364,1.041787
475.8884,39.14639,1.278278
475.9373,39.76776,0.8070555
474.939,40.38913,0.5160584
474.0121,39.76776,0.4659471
473.6348,39.76776,0.4501225
472.3615,39.76776,0.4527599
471.4926,39.76776,0.4615514
472.5537,39.76776,0.3973738
471.5116,39.76776,0.1723125
473.0251,39.14639,0.4035278
472.1194,39.14639,0.4501225
472.8939,38.52501,0.1881371
469.9515,37.90364,0.5327622
466.9458,37.28227,0.5143001
465.5815,37.28227,0.5143001
463.6954,37.28227,0.471222
463.1746,37.28227,0.5644114
466.6154,37.28227,0.7068329
464.98,37.28227,0.7367239
465.9542,37.90364,0.4246273
462.9973,37.28227,0.229457
459.3128,36.6609,0.193412
464.9409,36.6609,0.2048409
465.8376,35.41816,0.2022035
466.1754,34.79679,0.20572
465.3234,34.17542,0.4967172
465.5309,33.55404,0.4852883
467.463,33.55404,0.755186
466.6925,34.17542,1.336301
475.1848,35.41816,1.394325
477.6614,36.03953,1.334543
477.2965,36.6609,0.1925329
476.7082,36.6609,0.1802248
479.8246,37.28227,1.497185
480.2261,37.28227,1.373225
487.7312,37.90364,0.7745272
486.3837,38.52501,0.7965058
497.288,39.14639,0.1608836
497.7814,39.14639,0.4879257
490.0076,39.14639,0.4527599
492.8651,38.52501,0.6259516
494.2166,38.52501,0.6830961
493.1967,38.52501,0.7516694
492.9782,39.14639,1.473448
492.3174,40.38913,0.6743046
495.1213,39.76776,0.8510128
496.033,39.14639,0.7296907
497.175,39.14639,0.5529825
497.7597,39.76776,0.5626531
497.0651,39.76776,0.5459493
498.6132,40.38913,0.3613288
496.335,40.38913,0.8527711
496.7401,41.0105,0.996951
497.6372,41.63187,1.075195
500.1739,41.63187,0.9151905
501.3441,41.63187,0.9151905
502.5156,42.87461,0.9055198
506.0662,42.87461,0.664634
507.8394,42.87461,0.6743046
518.5692,42.87461,0.6743046
518.9648,42.87461,0.6549634
520.3492,42.87461,0.6532051
523.0016,42.87461,0.6672714
520.1579,42.87461,0.6567217
524.0834,43.49598,0.6628757
525.5497,43.49598,0.7033164
526.4785,43.49598,0.725295
528.9838,43.49598,0.7041955
530.0435,43.49598,0.7965058
527.1359,43.49598,0.7965058
527.0566,43.49598,0.7692523
527.7447,44.11736,0.6690297
526.4999,43.49598,0.5573782
524.9216,43.49598,0.5600157
524.9963,43.49598,0.5608948
527.0274,43.49598,0.2426441
531.9196,42.87461,0.1591253
548.4254,42.25324,0.386824
551.9315,42.25324,0.38067
551.7786,41.63187,0.4008904
550.4921,41.63187,0.567928
550.0169,41.63187,0.6496885
550.0331,41.63187,0.6373805
549.4404,41.63187,0.6127644
547.8336,42.25324,0.6751837
544.5007,42.25324,0.858046
541.6578,42.25324,0.8650792
539.3734,42.25324,0.9231027
535.2717,42.87461,0.9837638
529.9814,43.49598,0.9960718
529.1879,44.11736,0.9055198
531.4302,44.11736,0.7349656
536.1102,44.11736,0.749032
533.9421,44.11736,0.3296795
528.4231,43.49598,0.3525373
527.3838,42.87461,0.477376
524.9749,42.87461,0.477376
526.8309,42.87461,0.48353
530.1801,42.87461,0.4940798
529.6664,42.25324,0.4844092
535.5993,42.25324,0.5995772
532.1405,42.25324,0.6039729
532.0514,41.63187,0.5397953
527.6639,41.63187,0.525729
525.6753,41.63187,0.6171601
525.0091,41.63187,0.7349656
545.3133,41.63187,0.7525485
549.8412,42.25324,0.6470511
548.5783,41.63187,0.392978
545.6611,41.63187,0.3534165
566.1277,41.0105,0.4826509
564.9473,41.0105,0.6277099
562.9222,41.0105,0.6312265
558.8489,41.0105,0.6321056
556.1913,41.63187,0.6171601
558.5522,41.63187,0.5099044
573.8256,41.0105,0.4914423
574.1127,41.0105,0.6066104
570.7877,41.0105,0.5573782
566.663,41.0105,0.6197976
564.4951,41.0105,0.6373805
558.9063,41.0105,0.5301247
565.9307,41.0105,0.7226576
570.8661,41.0105,0.7411196
573.4758,41.0105,0.7428779
571.6155,41.0105,0.7463945
572.6205,41.0105,0.6488094
571.0121,41.0105,0.5371579
550.5724,41.0105,0.5292456
549.972,41.0105,0.4386936
546.7645,41.0105,0.4562765
538.0388,40.38913,0.4536391
518.7197,40.38913,0.4545182
521.0464,40.38913,0.4597931
509.54,40.38913,0.4597931
501.385,40.38913,0.4527599
497.4009,39.76776,0.5600157
499.0914,39.76776,0.5582574
497.6602,39.76776,0.5600157
497.3687,39.76776,0.5626531
494.406,39.76776,0.5573782
492.6853,39.76776,0.5591365
492.3819,39.76776,0.5573782
495.4829,39.14639,0.5485868
490.373,39.14639,0.5292456
491.9001,39.14639,0.6215559
483.7337,39.14639,0.6329848
485.0813,39.76776,0.6971624
484.847,39.76776,0.6892501
483.3939,39.76776,0.7534277
483.1257,39.76776,0.7587025
483.1552,40.38913,0.8052973
480.0716,40.38913,0.9081573
479.8399,40.38913,0.9134321
479.0171,41.0105,0.6910083
477.6638,41.0105,0.4967172
478.152,41.0105,0.5626531
477.6782,41.0105,0.6022146
476.9469,41.0105,0.5969398
477.0122,41.0105,0.6013355
476.4255,41.0105,0.664634
477.7259,41.0105,0.6637548
474.6319,41.0105,0.6813377
475.1205,41.0105,0.6734254
475.9961,41.0105,0.6830961
473.9684,41.0105,0.6822169
474.2548,41.0105,0.6883709
470.3888,41.0105,0.6936458
470.2873,41.63187,0.6127644
470.1381,41.63187,0.5661697
469.6425,41.63187,0.5714446
467.2093,41.63187,0.5714446
466.3028,41.63187,0.6092478
467.0189,41.63187,0.6321056
467.4472,41.63187,0.6329848
477.4463,41.63187,0.6329848
475.0229,41.0105,0.5494659
474.0049,41.0105,0.5943024
473.128,41.0105,0.7367239
472.8329,41.0105,0.8228801
469.9665,41.0105,0.9081573
465.7635,41.63187,0.8949701
464.5661,42.25324,0.8061764
461.894,42.25324,0.8061764
461.1643,42.25324,0.5125418
461.2123,42.25324,0.664634
461.0445,42.25324,0.7006789
461.244,42.25324,0.7059538
461.8209,42.25324,0.719141
460.6705,42.25324,0.1468173
461.2388,41.63187,0.2118741
459.5084,41.0105,0.2022035
460.0042,41.0105,0.3920989
460.5425,39.76776,0.6549634
461.9496,39.76776,0.6241933
462.5472,39.76776,0.6321056
462.2993,39.76776,0.6110061
460.8359,39.76776,0.6189184
460.1626,39.76776,0.6294681
460.5255,39.76776,0.6180393
460.0881,39.76776,0.6180393
460.0881,40.38913,0.616281
460.5377,40.38913,0.622435
461.6016,41.0105,0.6277099
462.9909,41.0105,0.6259516
461.9575,40.38913,0.6927666
462.4406,40.38913,0.6936458
463.2054,40.38913,0.6971624
463.6309,40.38913,0.7050747
462.1389,40.38913,0.7033164
462.5079,40.38913,0.6945249
462.5079,40.38913,0.8026598
462.7923,40.38913,0.8026598
463.4243,41.0105,0.7261742
464.2413,41.0105,0.3507791
465.0743,40.38913,0.2505565
465.0743,40.38913,0.6725463
464.7249,40.38913,0.616281
462.7058,41.0105,0.5723237
463.1027,41.0105,0.5758403
463.1027,40.38913,0.5819943
462.3802,41.0105,0.574082
462.1974,41.0105,0.5116627
462.6167,40.38913,0.2663811
462.6167,40.38913,0.4281439
462.6613,39.76776,0.4246273
462.3531,39.76776,0.5116627
462.2865,39.76776,0.6857335
462.3786,39.76776,0.6655131
461.9328,39.76776,0.6321056
462.2368,39.76776,0.6417762
462.8263,39.76776,0.6470511
462.8263,39.76776,0.6391388
463.9174,39.76776,0.4747386
464.2246,39.76776,0.4782552
464.0486,39.76776,0.48353
463.5909,39.14639,0.6154018
464.0937,39.14639,0.7340865
464.7155,39.14639,0.6259516
465.7159,39.14639,0.6303473
465.4337,39.76776,0.6268307
464.9557,39.76776,0.6663923
465.2617,39.76776,0.6795794
465.4908,39.76776,0.7885935
465.8697,39.76776,0.7850769
466.2778,40.38913,0.670788
467.1034,40.38913,0.3314379
468.1605,39.76776,0.628589
468.8449,40.38913,0.6338639
468.8449,40.38913,0.6532051
470.376,39.76776,0.6154018
470.5706,39.76776,0.6250724
471.3973,40.38913,0.6294681
471.3552,40.38913,0.6294681
472.7612,39.76776,0.6874918
473.2355,40.38913,0.6663923
473.2355,40.38913,0.6637548
474.8619,40.38913,0.6628757
475.1571,40.38913,0.5538617
474.919,40.38913,0.5283664
475.1531,40.38913,0.4694637
475.0728,40.38913,0.6619965
474.6701,40.38913,0.7569442
475.2961,40.38913,0.7288116
474.5944,40.38913,0.7534277
474.9378,40.38913,0.5301247
475.5504,39.76776,0.4272647
476.0909,39.14639,0.5160584
475.4863,39.14639,0.4615514
476.2036,39.14639,0.48353
474.59,39.14639,0.4861675
474.6849,39.14639,0.5872692
473.773,39.14639,0.6356222
472.2353,39.14639,0.6857335
472.8196,39.14639,0.5828735
472.6877,39.76776,0.6716672
473.5896,39.76776,0.6716672
473.8259,39.76776,0.6672714
474.4518,40.38913,0.676942
475.6859,40.38913,0.4553974
